Area,Problema,Solucion,Prioridad
Agua,Tubo roto,Cerrar la válvula principal de paso.,Alta
Agua,Tubo roto,Colocar un tapón en el tubo.,Alta
Agua,Tubo roto,Use cinta de teflón.,Media
Agua,Manguera cortada,Cerrar paso de agua al área afectada (if possible).,Alta
Agua,Manguera cortada,Colocar un tapón en la manguera.,Media
Agua,Manguera cortada,Cerrar el chorro de agua.,Media
Agua,Manguera cortada,Cut the damaged part.,Media
Agua,Fuga,Seca bien y coloca cinta de teflón.,Alta
Agua,Fuga,Pon un trapo bien amarrado.,Media
Agua,Fuga de agua,Coloca una cubeta debajo.,Media
Agua,Fuga de agua,Cierra la llave más cercana.,Alta
Agua,Gotera,Coloca un recipiente debajo.,Baja
Agua,Gotera,Apaga la llave más cercana.,Media
Agua,Agua,Busca el origen de inmediato.,Alta
Agua,Agua,Seca con trapos.,Media
Agua,Chorro,Reduce el flujo cerrando parcialmente la llave.,Media
Agua,Chorro,Cúbrete temporalmente con una bolsa plástica.,Baja
Agua,Llave,Aprieta con herramienta.,Media
Agua,Llave,Cierra la llave principal.,Alta
Agua,Contador,Anota la lectura diaria para ver si hay consumo raro.,Baja
Agua,Sin agua,Revisa si los vecinos tienen agua.,Media
Agua,Sin agua,Usa agua almacenada si hay.,Media
Electricidad,Foco,Verifica si el foco está bien ajustado.,Baja
Electricidad,Foco,Prueba el foco en otro socket.,Baja
Electricidad,Sin encender,Asegúrate de que el interruptor esté en la posición correcta.,Baja
Electricidad,Sin encender,Revisa si hay energía eléctrica en el área.,Media
Electricidad,Quemado,Desconecta de inmediato el dispositivo afectado.,Alta
Electricidad,Quemado,Reemplaza o consulta a un técnico.,Alta
Electricidad,Cable,Inspecciona si el cable presenta cortes o daños visibles.,Alta
Electricidad,Cable,Evita tocarlo si está pelado o expuesto; llama a un profesional.,Alta
Electricidad,Corto circuito,Apaga la corriente desde la caja principal.,Alta
Electricidad,Corto circuito,Solicita ayuda técnica urgente.,Alta
Electricidad,Sin luz,Verifica si otros aparatos eléctricos funcionan.,Media
Electricidad,Sin luz,Consulta si hay reporte de fallos eléctricos en la zona.,Media
Electricidad,Apagones,Usa linternas o lámparas de emergencia.,Media
Electricidad,Apagones,Espera instrucciones de la compañía eléctrica si es general.,Baja
Electricidad,Iluminación,Verifica el estado de focos o bombillas en el área afectada.,Baja
Electricidad,Iluminación,Revisa interruptores y tomacorrientes.,Baja
Electricidad,Fusible,Reemplaza el fusible quemado con uno del mismo amperaje.,Media
Electricidad,Fusible,Si sigue fallando, consulta a un electricista.,Media
Electricidad,Conector,Asegúrate que esté bien instalado y firme.,Baja
Electricidad,Conector,No uses conectores sueltos o dañados.,Media
Electricidad,Tomacorriente,Comprueba si otros tomacorrientes funcionan.,Baja
Electricidad,Tomacorriente,Si no, puede ser un problema de circuito; busca ayuda profesional.,Media
Electricidad,Bombilla,Cambia la bombilla por una nueva si no enciende.,Baja
Electricidad,Bombilla,Asegúrate de usar el tipo correcto (LED, incandescente, etc.).,Baja
Electricidad,Plafonera,Revisa si la bombilla dentro de la plafonera está en buen estado.,Baja
Electricidad,Plafonera,Asegúrate de que los cables estén bien conectados.,Media
Electricidad,Contador,Observa si el contador marca consumo o está apagado.,Media
Electricidad,Contador,Contacta a tu proveedor si detectas anomalías.,Media
Electricidad,Caja de registro,Inspecciona si hay cables sueltos o quemados.,Alta
Electricidad,Caja de registro,No manipules la caja sin cortar la corriente general.,Alta
Electricidad,Palanca,Verifica si está abajo (desactivada).,Media
Electricidad,Palanca,Sube la palanca para reactivar, solo si es seguro.,Media
Electricidad,Fuego,Desconecta la energía desde la caja principal inmediatamente.,Alta
Electricidad,Fuego,Usa un extintor clase C (eléctrico) y llama a los bomberos.,Alta
Drenaje,Baño,Revisa si hay objetos obstruyendo el desagüe.,Media
Drenaje,Baño,Usa un destapador para intentar liberar el paso.,Media
Drenaje,Lavamanos,Verifica si el sifón está tapado o suelto.,Media
Drenaje,Lavamanos,Usa productos para destapar drenajes si es necesario.,Media
Drenaje,Pila,Limpia la rejilla o filtro de la pila para evitar acumulaciones.,Baja
Drenaje,Pila,Asegúrate de que el desagüe esté libre.,Baja
Drenaje,Lavaplatos,Retira residuos de comida que puedan obstruir el drenaje.,Baja
Drenaje,Lavaplatos,Usa agua caliente y detergente para deshacer grasa acumulada.,Baja
Drenaje,Tapado,Utiliza un destapador o sonda para desbloquear el flujo.,Media
Drenaje,Tapado,Si no funciona, considera llamar a un plomero.,Media
Drenaje,Reposadera,Revisa si la rejilla de la reposadera está obstruida.,Baja
Drenaje,Reposadera,Limpia el área y usa agua caliente para facilitar el drenaje.,Baja
Drenaje,Tapadera,Asegúrate de que la tapadera esté bien colocada.,Baja
Drenaje,Tapadera,Limpia restos de suciedad o residuos atrapados.,Baja
Drenaje,Manguera,Verifica si la manguera está doblada o tapada.,Baja
Drenaje,Manguera,Enjuaga con agua a presión para destaparla.,Baja
Drenaje,Tubo,Revisa si el tubo presenta grietas, fugas o bloqueos.,Media
Drenaje,Tubo,Si está dañado, reemplázalo o llama a un técnico.,Media
Drenaje,Roto,Evita seguir usando el área afectada para no agravar el daño.,Media
Drenaje,Roto,Repara o sustituye la pieza rota cuanto antes.,Media
Drenaje,Candela,"(Fugas leves) Detectar escape de aire o agua (¡con mucho cuidado!).",Alta
Drenaje,Candela,No uses fuego cerca de acumulaciones de gases o químicos.,Alta
Drenaje,Tapaderas,Asegúrate de que todas las tapaderas estén firmes y limpias.,Baja
Drenaje,Tapaderas,Reemplaza las tapaderas rotas o extraviadas.,Baja
Drenaje,Hundimiento,Señaliza el área para evitar accidentes.,Alta
Drenaje,Hundimiento,Contacta a un especialista para evaluar el daño estructural.,Alta
Seguridad,Sospechosos,Avisar por radio a seguridad.,Alta
Seguridad,Indigente,Asegure su puerta.,Alta
Seguridad,Asalto,No resistir.,Alta
Seguridad,Asalto,Protegerse.,Alta
Seguridad,Robo,Protegerse.,Alta
Seguridad,Robo,Resguardarse en un lugar seguro.,Alta
Seguridad,Portón abierto,Cerrar.,Alta
Seguridad,Pelea,No meterse.,Alta
Seguridad,Pelea,Solo mirar de lejos.,Media
Seguridad,Conflictos,Tratar de calmar con respeto.,Media
Seguridad,Conflictos,Utiliza Palabras tranquilas.,Media
Seguridad,Alarmas,Ver de dónde suena.,Alta
Seguridad,Alarmas,Avisar al residente.,Alta
Seguridad,No autorizado,Preguntar a quién visita.,Alta
Seguridad,No autorizado,No dejar pasar hasta confirmar.,Alta
Seguridad,Conos,Volver a colocarlos.,Baja
Seguridad,Conos,Quitar el cono.,Baja
Seguridad,Proceso de verificación,Preguntar nombre.,Media
Seguridad,Proceso de verificación,Pedir identificación.,Media
Ruidos,Música,Pedir que le bajen el volumen.,Baja
Ruidos,Fiestas,Verificar el horario permitido.,Baja
Ruidos,Reuniones,Verificar el horario permitido.,Baja
Ruidos,Eventos,Verificar el horario permitido.,Baja
Ruidos,Visitas,Verificar el horario permitido.,Baja
Ruidos,Visitas,Analizar la situación.,Baja
Ruidos,Disturbios,Evitar incorporarse a ellos.,Media
Ruidos,Disturbios,Mantener una distancia.,Media
Ruidos,Pleitos,Mantener la calma.,Media
Ruidos,Alarmas,Verificar el origen de procedencia.,Media
Ruidos,Alarmas,Esperar que la alarma sea apagada durante un tiempo de 2 minutos.,Media
Ruidos,Discusiones,Obtener el contexto del origen de la pelea.,Baja
Ruidos,Golpes,No intervenir.,Media
